play_music,user_manual,next_content,pre_content,end_of_content,middle_of_content,start_content,stop_content,restart_content,pause_content,resume_content,increase_volume,decrease_volume,default_volume,min_volume,max_volume,mute,un_mute,lastest_news,hottest_news,most_read_news,read_news
Tìm bài hát Indie mới và nổi bật,Tôi có thể tùy chỉnh cài đặt cá nhân không?,Nghe tiếp,Quay lại tin tức trước đó,Nhảy tới phần cuối của trang đọc tin tức,"Đến giữa bản tin, tôi cần thông tin",Phát bài hát đầu tiên trong danh sách,"Chấm dứt đọc trang báo, được không?",Lắng nghe lại tin tức từ đầu.,Dừng nhạc ngay từ đoạn này.,Đọc tiếp nội dung của đoạn trước.,"Tăng âm lượng để có thể nghe rõ hơn, xin cảm ơn.",Làm nhỏ hơn.,Giữ âm lượng ở mức trung bình.,Đặt âm lượng ở mức thấp nhất có thể.,Đặt âm lượng ở mức cao nhất có thể.,Tắt loa ngay lập tức.,Bật loa lớn lên.,Kể tôi nghe về tin tức mới nhất,Kể tôi nghe về tin tức nóng nhất,Kể tôi nghe về tin tức được đọc nhiều nhất,Chọn cho tôi tin tức thứ hai
Phát nhạc điện tử trong phong cách tropical house,Làm cách nào để tạo danh sách yêu thích?,Đến phần sau,Nghe lại bài hát trước đó,Chuyển đến kết thúc bài hát,chuyển đến đoạn giữa trang,Mở bản tin và bắt đầu đọc nó,Dừng nhạc và chuyển sang chế độ chờ.,Phát lại bài hát từ đầu đi.,Tạm dừng đọc trang tin tức.,Đọc tiếp đoạn văn bản sau đây đi.,Làm ơn tăng âm lượng để nghe rõ hơn đi.,Giảm tiếng xuống một chút.,Âm lượng trung bình vừa.,Hạ âm lượng xuống tối thiểu.,Làm lớn âm lượng tới tối đa.,Ngừng phát nhạc ngay đi.,Bật tiếng bài hát.,Tìm cho tôi tin tức vài giờ trước,Tìm cho tôi tin tức nóng,Tìm cho tôi tin tức được đọc nhiều nhất,Đọc tóm tắt của tin thứ hai cho tôi
Nghe nhạc K-pop của các nhóm nhạc nữ hàng đầu,Có cách nào để lưu nội dung để xem sau không?,Tiếp tục đọc,Đến trang/chương trước,Skip đến phần cuối cùng của đoạn tin,"Lùi về phần giữa của bài viết, được không?","Bắt đầu từ đầu trang tin tức, được không?","Ngừng đọc tin tức, tôi cần nghỉ.",Bắt đầu lại đọc trang tin tức.,Dừng lại và chờ lệnh tiếp theo.,Nghe tiếp bài hát từ điểm dừng trước đó.,Tăng âm thanh lên một chút khi đọc tin tức đi.,Cho âm thanh nhỏ hơn.,Đặt cường độ âm lượng ở mức trung bình.,Giảm độ lớn tới mức thấp nhất.,Tăng độ lớn âm lượng tới mức cao nhất.,Làm yên đi.,Làm to bản nhạc.,Kể cho tôi những tin tức mới xảy ra,Kể cho tôi những tin tức nóng đã xảy ra,Kể cho tôi những tin tức được đọc nhiều nhất đã xảy ra,"Tôi muốn biết về tin tức thứ hai, hãy chọn và đọc nó cho tôi"
Tìm album nhạc kịch đầy cảm xúc,Làm cách nào để chia sẻ nội dung từ ứng dụng của bạn?,Bỏ qua phần này,Quay về nội dung trước đó,Cuối bài hát,Tìm trang giữa của tin tức,Chơi nhạc và bắt đầu từ đầu album,Dừng nhạc ngay vài giây nữa.,Nghe lại danh sách nhạc từ đầu.,Tạm dừng đọc bài viết tại đây.,Tiếp tục đọc bài báo từ đoạn này đi.,Lớn tiếng một chút khi đang nghe bài hát đi.,Làm nhỏ âm lượng xuống.,Đặt âm lượng ở mức trung bình hơn chút.,Giảm âm lượng tới mức thấp nhất có thể.,Tăng âm lượng tới mức cao nhất có thể.,Tắt tiếng nhạc giùm.,Bật tiếng lên đi.,Cung cấp cho tôi tin tức mới nhất,Cung cấp cho tôi tin tức nóng nhất,Cung cấp cho tôi tin tức được đọc nhiều nhất,Cập nhật và chọn tin thứ hai trong danh sách
Phát danh sách nhạc disco sôi động,Tôi có thể đánh giá và đánh giá nội dung không?,Chuyển sang nội dung mới hơn,Nghe lại đoạn nhạc trước đó,Nghe phần kết thúc của nhạc,Chuyển đến phần trung tâm của nội dung,Mở nội dung mới và đọc cho tôi,"Ngừng nội dung đang đọc, làm ơn.",Mở lại nội dung và đọc lại.,"Dừng nhạc, tôi muốn nghỉ ngơi.","Tiếp tục từ nơi tạm dừng trước đó, xin cảm ơn.",Tăng âm lượng để có trải nghiệm nghe tốt hơn.,Giảm cường độ âm lượng.,Âm lượng trung bình thôi.,Đặt âm lượng ở mức nhỏ nhất.,Đặt âm lượng ở mức lớn nhất.,Tắt âm nhạc giùm.,Làm to nhạc ngay.,Những tin tức gì đang xảy ra gần đây,Những tin tức nóng đang diễn ra hiện tại,Những tin tức được đọc nhiều nhất đang diễn ra hiện tại,Hãy đọc tin tức thứ hai cho tôi
Nghe nhạc classical của các nhà soạn nhạc nổi tiếng,Có cách nào để báo cáo nội dung không phù hợp không?,Đọc tin mới hơn,Quay lại bài viết trước,Chuyển đến cuối bản tin,nhảy đến giữa bài hát ngay lập tức,"Bắt đầu đọc tin tức, tôi muốn nghe",Dừng đọc bản tin ngay tại đây.,"Chơi lại nhạc từ đầu, làm ơn.",Ngừng phát nhạc ngay bây giờ.,Tiếp tục đọc tin tức từ đoạn này đi.,Làm ơn làm cho âm thanh to hơn chút.,Đặt âm lượng thấp hơn.,Đặt âm thanh ở mức trung bình nhất.,Âm lượng cực thấp là tốt nhất.,Âm lượng cực cao là tốt nhất.,Không cần tiếng nhạc nữa.,Bật loa to lên.,Tiêu điểm tin tức gần đây,Tiêu điểm tin tức nóng nhất,Tiêu điểm tin tức được đọc nhiều nhất,Chọn tin thứ hai bạn đã tìm thấy để đọc
Tìm bài hát nhạc Latin nóng hổi,Làm cách nào để cập nhật thông tin cá nhân của tôi?,Nghe bài hát khác,Đọc lại đoạn văn trước đó,Nhảy đến kết thúc bài nhạc,Lướt đến trung tâm của trang đọc,Phát nhạc và bắt đầu từ đầu danh sách,"Ngừng phát nhạc, làm ơn.",Bắt đầu lại bài mới trong danh sách nhạc.,Dừng lại ở đây trong bài báo.,Nghe tiếp playlist từ bài hát trước đó.,Tăng âm lượng một chút khi đọc phần này.,Hạ âm lượng xuống.,Âm lượng ở mức trung bình một chút.,Cho tiếng nhỏ nhất có thể.,Tăng âm lượng lên tối đa đi.,Tắt loa đi.,Bật loa với âm thanh mạnh mẽ.,Đưa tôi tin tức mới nhất,Đưa tôi tin tức nóng nhất,Đưa tôi tin tức được đọc nhiều nhất,Đọc đoạn mô tả của tin thứ hai trong danh sách
Phát nhạc R&B Soul của các ca sĩ nổi tiếng,Tôi có thể thay đổi ngôn ngữ và cài đặt khác không?,Bỏ qua bài hát này,Trở lại nội dung trước,Bỏ qua và chuyển đến cuối trang đọc tin tức,Kéo xuống và chuyển đến đoạn giữa trang tin,Bắt đầu bản tin mới nhất,Dừng lại ở đây trong bài hát.,"Nghe lại bản tin từ đầu, được không?","Tạm dừng đọc tin tức, làm ơn.",Đọc tiếp đoạn văn bản sau đây đi.,Lớn tiếng lên một chút khi đang nghe playlist.,Giảm độ lớn.,Đặt độ lớn âm lượng ở mức trung bình.,Đặt cường độ âm lượng ở mức thấp nhất.,Đặt cường độ âm lượng ở mức cao nhất.,Dừng âm thanh ngay.,Làm lớn tiếng nhạc ngay.,Diễn biến tin tức mới nhất gần đây,Diễn biến tin tức nóng nhất,Diễn biến tin tức được đọc nhiều nhất,Tôi muốn biết nội dung của tin thứ hai bạn đã tìm thấy
Nghe nhạc country với giai điệu cảm động,Làm thế nào để đổi mật khẩu của tôi?,Chuyển sang bài hát tiếp theo,Nghe lại phần trước trong danh sách phát,Chuyển đến phần kết thúc của bản tin,"Chuyển đến trung tâm nội dung, ngay bây giờ",Mở danh sách nhạc và chơi từ đầu,Tạm dừng nội dung ngay lập tức.,Phát lại nhạc từ đầu bài hát.,Dừng lại và chờ lệnh mới.,Tiếp tục tin tức từ nơi tạm dừng.,Tăng âm thanh để tin tức trở nên rõ ràng hơn.,Giảm âm lượng một chút nữa.,Âm lượng ở mức trung bình là được.,Âm lượng ở mức thấp nhất vừa.,Âm lượng ở mức cao nhất vừa.,Làm yên lặng đi.,Bật tiếng nhạc với âm lượng cao.,Kể cho tôi những tin tức đang diễn ra,Kể cho tôi những tin tức nóng nhất đang diễn ra,Kể cho tôi những tin tức được đọc nhiều nhất đang diễn ra,Chọn tin tức thứ hai từ danh sách và đọc nó cho tôi
Tìm playlist nhạc dành cho buổi tiệc nhỏ,Tôi có thể đăng xuất tài khoản của mình không?,Tiếp tục nghe nhạc,Quay lại bài báo trước,Nghe cuối cùng của bài hát,Kéo xuống và chuyển đến đoạn giữa trang báo,"Bắt đầu đọc bài mới, được không?",Ngừng đọc tin tức tại đây.,"Bắt đầu lại đọc bài viết, làm ơn.",Tạm dừng phát nhạc ngay lập tức.,Chuyển đến đoạn văn bản tiếp theo.,Làm ơn tăng âm lượng để nghe nhạc phê hơn đi.,Làm yếu tiếng đi.,Đặt âm lượng ở mức trung bình một tí.,Giảm âm thanh tới mức thấp nhất.,Làm to tiếng lên tới mức cao nhất có thể.,Tắt nhạc giúp.,Bật tiếng nhạc mạnh mẽ.,Tìm hiểu cho tôi tin tức đang diễn ra,Tìm hiểu cho tôi tin tức nóng nhất đang diễn ra,Tìm hiểu cho tôi tin tức được đọc nhiều nhất đang diễn ra,"Tôi quan tâm đến tin tức thứ hai, hãy chọn và đọc cho tôi"
Phát nhạc lo-fi chill để làm việc,Có cách nào để khôi phục lại mật khẩu nếu tôi quên không?,Nghe nội dung khác,Chuyển về mục trước đó,"Cuối bài, xin cảm ơn",Chuyển đến giữa bài viết một cách nhanh chóng,Mở nhạc và bắt đầu từ đầu danh sách,Dừng nhạc ngay từ đoạn này.,Chơi lại bài hát từ đầu danh sách.,Ngừng đọc bản tin tại đây.,Nghe tiếp nhạc từ điểm tạm dừng trước.,Tăng âm lượng lên một tí khi đọc nội dung này.,Đặt âm lượng ở mức thấp hơn.,Âm lượng ở mức trung bình vừa phải.,Làm nhỏ tiếng đến mức thấp nhất.,Tăng cường âm thanh tới mức cao nhất.,Không muốn nghe nhạc nữa.,Bật tiếng nhạc mạnh lên.,Tìm hiểu cho tôi tin tức mới đây,Tìm cho tôi tin tức nóng nhất  ,Tìm cho tôi tin tức được đọc nhiều nhất,Đọc tóm tắt của tin thứ ba cho tôi
Tìm bài hát nhạc đồng quê Việt Nam phát triển gần đây,Làm thế nào để xóa tài khoản của mình?,Đọc tin tức khác,Quay lại đoạn tin tức trước,Skip đến cuối bài nhạc,Đến đoạn trung tâm của trang tin tức,Bắt đầu nội dung từ đầu,Tạm dừng đọc bài viết tại đây.,Nghe lại tin tức từ đầu đến cuối.,"Dừng lại, tôi sẽ tiếp sau.","Hãy đọc tiếp từ nơi dừng lại, xin cảm ơn.",Lớn tiếng lên một chút khi đang nghe bản tin.,Giảm âm thanh một chút nữa.,Giữ cường độ âm lượng ở mức trung bình.,Đặt âm lượng ở mức nhỏ nhất có thể.,Đặt âm lượng ở mức cao nhất nhé.,Ngừng phát âm thanh.,Bật nhạc với tiếng lớn.,Cập nhập những bản tin mới nhất,Cập nhập những tin tức nóng hổi nhất,Cập nhập những tin tức được đọc nhiều nhất,Chọn cho tôi tin thứ ba trong danh sách
Nghe nhạc hiphop của các nghệ sĩ nổi tiếng trên thế giới,Tôi có thể đăng nhập vào nhiều tài khoản khác nhau không?,Sang phần tiếp theo của bài viết,Đọc lại phần trước của trang web,Chuyển đến cuối bài đọc tin,Tìm nhanh đoạn giữa của bài viết,Chơi nhạc và bắt đầu từ bài đầu tiên,Ngừng phát nhạc ngay bây giờ.,"Bắt đầu lại đọc bản tin, làm ơn.",Tạm dừng đọc bài mới tại đây.,Đọc tiếp từ đoạn văn bản kế tiếp đi.,Tăng âm thanh để có trải nghiệm nghe tốt hơn.,Đặt mức âm lượng thấp hơn.,Đặt âm lượng ở mức trung bình như trước.,Giữ âm lượng ở mức thấp nhất.,Âm lượng cao nhất là được.,Làm im lặng âm thanh.,Làm to nhạc ngay lập tức.,Tìm kiếm bản tin mới nhất,Tìm kiếm tin tức nóng hổi nhất,Tìm kiếm tin tức được đọc nhiều nhất,"Tôi muốn biết về tin tức thứ ba, hãy chọn và đọc nó cho tôi"
Tìm danh sách nhạc được yêu thích trong thập kỷ 90,Có chức năng nhắc nhở hoặc thông báo không?,Tiếp tục đọc trang web,Nghe lại đoạn trước trong podcast,Cuối bài,nhảy đến giữa bài hát ngay từ đầu,Mở bản tin và đọc từ đầu đến cuối,"Dừng lại, tôi muốn xem thêm ở đây.",Nghe lại danh sách nhạc từ đầu.,Dừng lại và chờ lệnh mới.,"Tiếp tục từ nơi dừng lại, làm ơn.",Làm ơn làm cho âm thanh to hơn một chút.,Làm nhỏ tiếng đi một tí.,Âm lượng ở mức trung bình ổn.,Âm lượng ở mức thấp nhất xíu.,Làm to đến mức cao nhất có thể.,,Bật loa với âm lượng cao.,1 số bản tin mới nhất,1 số tin tức nóng hổi nhất,1 số tin tức được đọc nhiều nhất,Cập nhật và đọc tin thứ ba cho tôi
Phát nhạc indie rock của các ban nhạc độc lập,Làm cách nào để tôi tìm được hỗ trợ hoặc liên hệ với nhóm hỗ trợ của bạn?,Nghe phần tiếp theo của podcast,Trở lại đoạn trước đó,Nhảy tới phần kết thúc của đoạn tin tức,Chuyển đến trang giữa của trang tin tức,Bắt đầu từ đầu trang tin tức,"Tạm dừng nội dung, làm ơn.",Chơi lại nhạc từ đầu danh sách.,Tạm dừng nội dung ngay bây giờ.,Nghe tiếp nhạc từ bài hát trước đó đi.,Tăng âm lượng để bài hát trở nên sống động hơn.,Giảm âm lượng một chút nhé.,Đặt âm thanh ở mức trung bình xíu.,Hạ âm lượng xuống tối đa mức thấp nhất.,Tăng âm lượng lên tối đa mức cao nhất.,,,bản tin mới nhất hôm nay là gì,Tin tức nóng hổi nhất hôm nay là gì,Tin tức được đọc nhiều nhất hôm nay là gì,Hãy chọn tin tức thứ ba từ danh sách và đọc nó cho tôi
Tìm bài hát nhạc phim nổi tiếng của Marvel,Tôi có thể tham gia vào cộng đồng hoặc diễn đàn của ứng dụng không?,Chuyển đến đoạn sau,Quay lại bài hát trước,Chuyển đến phần kết thúc của bài hát,"Lướt về trung tâm của nội dung đọc, được không?",Phát nhạc và bắt đầu từ đầu danh sách,Ngừng đọc tin tức ngay từ đoạn này.,Bắt đầu lại đọc trang tin tức.,Dừng nhạc ngay từ đoạn này.,Nghe tiếp bài hát từ điểm tạm dừng trước.,Lớn tiếng lên một chút khi đang nghe nhạc đi.,Giảm yếu âm lượng xuống.,Giữ âm lượng ở mức trung bình ổn định.,Giảm cường độ âm lượng tới mức nhỏ nhất.,Tăng cường cường độ âm lượng tới mức lớn nhất.,,,Hãy cho tôi biết về bản tin mới nhất hôm nay,Hãy cho tôi biết về tin tức nóng hổi nhất hôm nay,Hãy cho tôi biết về tin tức được đọc nhiều nhất hôm nay,Chọn tin thứ ba bạn đã tìm thấy để đọc
Nghe nhạc điện tử trong phong cách trance,Có cách nào để tôi đề xuất tính năng mới cho ứng dụng của bạn không?,Đọc đoạn tiếp theo,Đến phần nội dung trước đó,Nghe phần cuối cùng của nhạc,Nhảy đến phần trung tâm của bài viết đang đọc,"Bắt đầu đọc bài viết mới, được không?","Dừng nhạc, tôi cần tạm nghỉ.",Mở lại nội dung và đọc lại.,Tạm dừng đọc trang tin tức.,Hãy đọc tiếp phần nội dung này đi.,Tăng âm thanh để có thể nghe rõ nội dung hơn.,Giảm độ lớn của âm thanh.,Âm lượng ở mức trung bình như bình thường.,Đặt âm lượng ở mức thấp nhất nhé.,Đặt âm lượng ở mức cao nhất vừa.,,,Hãy cho tôi biết về bản tin gần đây nhất hôm nay,Hãy cho tôi biết về tin tức nóng hổi nhất hôm nay,Cho tôi biết về tin tức được đọc nhiều nhất,Đọc đoạn mô tả của tin thứ ba trong danh sách
Tìm album nhạc jazz ghi dấu ấn trong lịch sử,Làm thế nào để tôi báo cáo lỗi hoặc vấn đề kỹ thuật?,Tiếp tục nghe đoạn sau,Nghe lại đoạn trước trong audiobook,Bỏ qua và chuyển đến cuối trang tin tức,"Chuyển đến giữa bản tin, mình đang cần đọc",Mở nội dung mới và đọc cho tôi,Tạm dừng đọc bài mới tại đây.,Phát lại bài hát từ đầu đi.,Dừng lại và chờ lệnh tiếp theo.,Tiếp tục tin tức từ đoạn trước đó.,Làm ơn tăng âm lượng để tin tức rõ ràng hơn.,Đặt âm lượng ở mức thấp hơn xíu.,Đặt cường độ âm lượng ở mức trung bình hơn chút.,Âm lượng thấp nhất là được.,Âm lượng cao nhất là đủ.,,,Cho tôi biết về bản tin gần nhất,Cho tôi biết về tin tức gần nhất,Tìm kiếm tin được đọc nhiều nhất,Tôi muốn biết nội dung của tin thứ ba bạn đã tìm thấy
Phát nhạc nhẹ nhàng để thư giãn sau một ngày dài,Tôi có thể yêu cầu tính năng cụ thể không?,Đến phần nội dung mới,Chuyển về bài viết trước,Chuyển đến cuối bài hát ngay,"Nhảy đến giữa đoạn đang đọc, được không?",Chơi danh sách nhạc từ đầu đến cuối,Dừng lại và chờ lệnh tiếp theo.,Bắt đầu lại bài mới trong danh sách nhạc.,Tạm dừng đọc bài viết tại đây.,Tiếp tục tin tức từ nơi tạm dừng trước đó.,Tăng âm lượng lên một chút khi đọc phần này.,Làm nhỏ hơn một chút.,Âm lượng trung bình là tốt rồi.,Giảm độ lớn tiếng xuống tới mức thấp nhất.,Làm mạnh độ lớn tiếng lên tới mức cao nhất.,,,Tìm kiếm tin gần đây nhất,Tìm kiếm tin nóng hổi nhất,Cập nhập cho tôi tin tức được đọc nhiều nhất,Chọn và đọc tin thứ ba cho tôi
Nghe nhạc pop-rock của các nghệ sĩ mới nổi,Có cách nào để tôi cập nhật ứng dụng lên phiên bản mới nhất không?,Nghe nội dung tiếp theo trong danh sách phát,Đọc lại đoạn văn bản trước đó,Skip đến cuối bản tin,Lướt nhanh và chuyển đến giữa đoạn tin tức,Bắt đầu từ đầu bản tin,"Ngừng phát nhạc, làm ơn.","Nghe lại bản tin từ đầu, làm ơn.","Dừng nhạc, tôi muốn nghỉ ngơi.",Nghe tiếp playlist từ điểm dừng trước đó.,Tăng âm lượng lên.,Giảm âm lượng một tẹo.,Đặt âm lượng ở mức trung bình ổn định.,Đặt âm lượng ở mức nhỏ nhất vừa.,Đặt âm lượng tới mức cao nhất có thể.,,,Cập nhập cho tôi bản tin mới đây,Cập nhập cho tôi tin tức nóng hổi nhất,Tìm hiểu về tin tức được đọc nhiều nhất,"Tôi quan tâm đến tin tức thứ ba, hãy chọn và đọc cho tôi"
